# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-0.9883268	1.2094242e-06	0	-0.046999995	0	0
0	-0.9882282	1.514185e-06	0	-0.046	0	0
0	-0.98812866	1.884473e-06	0	-0.045	0	0
0	-0.9880283	2.3690518e-06	0	-0.044	0	0
0	-0.9879269	3.0419906e-06	0	-0.043000005	0	0
0	-0.9878246	3.999143e-06	0	-0.042	0	0
0	-0.98772144	5.358219e-06	0	-0.041000005	0	0
0	-0.97958374	0.047893144	0	-0.039999995	0	0
0	-0.9791886	0.048710633	0	-0.039	0	0
0	-0.97878826	0.04952529	0	-0.038	0	0
0	-0.978384	0.050332896	0	-0.037	0	0
0	-0.97797585	0.051134363	0	-0.036	0	0
0	-0.97756404	0.051929	0	-0.035	0	0
0	-0.97714806	0.05271857	0	-0.034000006	0	0
0	-0.9767282	0.053502463	0	-0.032999996	0	0
0	-0.9763038	0.054282464	0	-0.032	0	0
0	-0.9758754	0.055057783	0	-0.031000001	0	0
0	-0.9754421	0.05583012	0	-0.03	0	0
0	-0.97500473	0.056598537	0	-0.029	0	0
0	-0.9745623	0.057364434	0	-0.027999999	0	0
0	-0.9741149	0.05812835	0	-0.026999999	0	0
0	-0.9736628	0.05888997	0	-0.025999997	0	0
0	-0.97320557	0.059649516	0	-0.025000002	0	0
0	-0.9727431	0.060407758	0	-0.024000002	0	0
0	-0.9722751	0.061165445	0	-0.023	0	0
0	-0.97180176	0.0619218	0	-0.022	0	0
0	-0.97132266	0.062678106	0	-0.021	0	0
0	-0.9708377	0.063434325	0	-0.019999998	0	0
0	-0.9703467	0.06419068	0	-0.019	0	0
0	-0.9698497	0.06494727	0	-0.018	0	0
0	-0.96934634	0.06570468	0	-0.017000003	0	0
0	-0.96883655	0.06646297	0	-0.016	0	0
0	-0.96832	0.067222714	0	-0.015	0	0
0	-0.96779644	0.06798448	0	-0.0139999995	0	0
0	-0.96726644	0.06874688	0	-0.012999998	0	0
0	-0.96672887	0.06951198	0	-0.012000001	0	0
0	-0.96618396	0.070279226	0	-0.011	0	0
0	-0.9656315	0.07104905	0	-0.009999999	0	0
0	-0.9650712	0.07182163	0	-0.009	0	0
0	-0.96450293	0.072597116	0	-0.008	0	0
0	-0.96392626	0.073376104	0	-0.0069999998	0	0
0	-0.96334124	0.074158326	0	-0.0060000005	0	0
0	-0.9627475	0.07494456	0	-0.0049999994	0	0
0	-0.9621449	0.07573454	0	-0.004	0	0
0	-0.961533	0.076529175	0	-0.0030000003	0	0
0	-0.9609117	0.07732789	0	-0.002	0	0
0	-0.96028054	0.07813173	0	-0.001	0	0
0	-0.95963943	0.07894028	0	7.632783e-17	0	0
0	-0.9589882	0.07975422	0	0.001	0	0
0	-0.95832604	0.08057384	0	0.002	0	0
0	-0.95765305	0.081399314	0	0.0030000003	0	0
0	-0.956969	0.08223052	0	0.004	0	0
0	-0.9562731	0.08306841	0	0.0049999994	0	0
0	-0.9555653	0.08391324	0	0.0060000005	0	0
0	-0.9548451	0.08476463	0	0.0069999998	0	0
0	-0.95411235	0.08562323	0	0.008	0	0
0	-0.9533665	0.086489305	0	0.009	0	0
0	-0.9526069	0.087363735	0	0.009999999	0	0
0	-0.9518335	0.08824606	0	0.011	0	0
0	-0.95104563	0.08913698	0	0.012000001	0	0
0	-0.9502427	0.09003697	0	0.012999998	0	0
0	-0.94942486	0.09094589	0	0.0139999995	0	0
0	-0.9485906	0.09186461	0	0.015	0	0
0	-0.94774014	0.09279308	0	0.016	0	0
0	-0.9468724	0.093732536	0	0.017000003	0	0
0	-0.9459873	0.09468224	0	0.018	0	0
0	-0.94508386	0.09564333	0	0.019	0	0
0	-0.9441616	0.096616	0	0.019999998	0	0
0	-0.9432194	0.097601265	0	0.021	0	0
0	-0.9422572	0.09859877	0	0.022	0	0
