# t (s)	mx ()	my ()	mz ()	B_app (T)	m.region2x ()	m.region2y ()	m.region2z ()
0	0.3790661	0.003335845	0	0.054	0.99995005	0.009991919	0
0	0.37906578	0.0033624573	0	0.055	0.99994934	0.010071696	0
0	0.3790655	0.003388489	0	0.056	0.99994856	0.010149612	0
0	0.3790652	0.0034140153	0	0.057	0.99994767	0.010226072	0
0	0.37906492	0.0034390984	0	0.058	0.999947	0.010301082	0
0	0.3790646	0.0034634871	0	0.059	0.9999462	0.010374249	0
0	0.37906435	0.0034875574	0	0.06	0.9999456	0.010446281	0
0	0.37906405	0.0035109718	0	0.061	0.9999447	0.010516465	0
0	0.3790638	0.003534029	0	0.062	0.99994385	0.010585457	0
0	0.37906358	0.0035566094	0	0.063	0.9999433	0.010653199	0
0	0.37906328	0.003578752	0	0.064	0.99994266	0.010719447	0
0	0.379063	0.0036004384	0	0.065	0.9999419	0.010784447	0
0	0.37906268	0.0036218169	0	0.066	0.99994123	0.010848404	0
0	0.3790625	0.0036426587	0	0.067	0.99994045	0.01091087	0
0	0.3790622	0.0036630833	0	0.068	0.99993986	0.010972084	0
0	0.37906197	0.0036831798	0	0.069	0.9999391	0.011032314	0
0	0.3790617	0.0037029488	0	0.07	0.9999385	0.011091501	0
0	0.37906143	0.0037223694	0	0.071	0.9999379	0.011149644	0
0	0.37906125	0.003741364	0	0.072	0.9999372	0.011206568	0
0	0.379061	0.0037600843	0	0.073	0.99993664	0.01126261	0
0	0.37906078	0.0037783785	0	0.074	0.99993604	0.011317492	0
0	0.37906048	0.0037965376	0	0.075	0.99993527	0.011371732	0
0	0.3790603	0.0038142006	0	0.076	0.99993473	0.01142472	0
0	0.37906012	0.0038316448	0	0.077	0.9999342	0.011476934	0
0	0.37905982	0.0038487613	0	0.078	0.9999336	0.011528164	0
0	0.37905964	0.0038655244	0	0.079	0.9999329	0.011578454	0
0	0.37905943	0.0038820708	0	0.08	0.99993235	0.011628033	0
